SNP,Position,Chr,Nearest gene,Reference allele,Associated phenotype,Min Cond FDR,IFGC phase I p-value,IFGC phase I OR (95% CI),IFGC phase II p-value,IFGC phase II OR (95% CI),Meta-analysis p-value,Meta-analysis OR (95% CI)
rs4417745,241 225 364,2,Intergenic; OTOS,A,PD,2.73E - 02,2.52E - 05,1.36 (1.18 - 1.57),0.47,1.06 (0.90 - 1.25),3.20E - 04,1.22 (1.09 - 1.36)
rs7664889,77 087 704,4,Intronic; SCARB2,T,PD,3.23E - 02,1.75E - 04,0.73 (0.62 - 0.86),0.82,0.98 (0.81 - 1.18),3.18E - 03,0.83 (0.73 - 0.94)
rs676768,116 030 773,10,Intronic; VWA2 #,T,PD,4.25E - 02,3.12E - 04,0.78 (0.68 - 0.90),0.55,0.96 (0.82 - 1.11),2.40E - 03,0.86 (0.78 - 0.95)
rs1328032,71 420 424,13,Intergenic; DACH1,A,AD,1.38E - 02,1.93E - 07,0.67 (0.57 - 0.78),0.34,0.94 (0.83 - 1.06),7.39E - 05,0.80 (0.72 - 0.88)
rs2446406,51 679 783,15,Intronic; GLDN #,A,PD,2.59E - 02,7.18E - 07,0.81 (0.74 - 0.88),0.40,0.96 (0.87 - 1.06),2.24E - 05,0.87 (0.82 - 0.93)
rs7184882,73 737 373,16,In orf; LOC101927998,T,AD,4.24E - 02,6.64E - 07,0.71 (0.62 - 0.81),0.08,0.89 (0.78 - 1.02),3.08E - 06,0.78 (0.71 - 0.86)
rs199528,44 843 136,17,Intronic; WNT3,T,PD,1.79E - 02,4.09E - 05,0.82 (0.74 - 0.90),0.03,0.89 (0.80 - 0.99),9.59E - 06,0.85 (0.79 - 0.91)
rs1358071,43 803 189,17,Intronic; CRHR1,A,PD,2.01E - 02,4.96E - 05,1.22 (1.12 - 1.31),0.001,1.16 (1.07 - 1.26),4.91E - 07,1.19 (1.11 - 1.27)
rs12964543,56 543 095,18,Intronic; ZNF532 #,A,PD,2.71E - 02,1.12E - 04,1.24 (1.11 - 1.38),0.24,1.05 (0.96 - 1.15),9.10E - 04,1.12 (1.05 - 1.2)
rs6857,45 392 254,19,3 0 -UTR; PVRL2 #,T,PD,4.69E - 02,7.03E - 07,1.31 (1.18 - 1.46),4.46E - 07,1.37 (1.21 - 1.55),2.21E - 12,1.34 (1.23 - 1.45)
rs405509,45 408 836,19,Intergenic; APOE,T,AD,5.26E - 03,1.25E - 05,1.18 (1.09 - 1.27),0.93,1.0 (0.92 - 1.09),5.98E - 05,1.15 (1.08 - 1.24)
